Gene	Protein	cis_trans_position_1mb_coding_region	nSamples	nCarriers	nNonCarriers	p-value	beta	lower	upper	se	model	Panel	Olink Assay	pan_p	pan_beta	Gene_chr	Gene_Start	Gene_end
CPB2	CPB2	cis-position, cis-gene	45606	57	45549	1.04e-86	-2.561015851	-2.814796155	-2.307235547	0.129478689	ptvraredmg	InflammationII	CPB2:Q96IY4:OID30734:v1:InflammationII	4.3761E-103	-2.582586755	13	46053186	46105033
ASGR1	CD163	trans-position, trans-gene	45433	104	45329	1.13e-86	1.885278474	1.698417889	2.072139059	0.095336244	ptvraredmg	Cardiometabolic	CD163:Q86VB7:OID20360:v1:Cardiometabolic	6.37041E-92	1.900167306	17	7173431	7179564
CPVL	CPVL	cis-position, cis-gene	45540	105	45435	2.55e-86	-1.923329816	-2.114362321	-1.732297312	0.097464763	ptv	Oncology	CPVL:Q9H3G5:OID21435:v1:Oncology	5.74311E-89	-1.881010784	7	28995235	29195451
NPC2	NPC2	cis-position, cis-gene	44869	178	44691	2.93e-86	-1.387756594	-1.525638923	-1.249874265	0.070347521	flexdmg	CardiometabolicII	NPC2:P61916:OID30418:v1:CardiometabolicII	3.64164E-85	-1.360766399	14	74476192	74494177
SERPIND1	SERPIND1	cis-position, cis-gene	45606	226	45380	3.38e-85	-1.277228734	-1.404943447	-1.14951402	0.065160035	flexdmg	InflammationII	SERPIND1:P05546:OID30767:v1:InflammationII	1.85585E-84	-1.191238438	22	20774113	20787720
ASGR1	TNFSF8	trans-position, trans-gene	45606	104	45502	3.77e-85	1.898828464	1.708903516	2.088753412	0.096899691	flexdmg	CardiometabolicII	TNFSF8:P32971:OID30384:v1:CardiometabolicII	1.39182E-88	1.892327701	17	7173431	7179564
HEPH	HEPH	cis-position, cis-gene	45616	191	45425	1.59e-84	-1.385661868	-1.524784048	-1.246539689	0.070980124	ptvraredmg	CardiometabolicII	HEPH:Q9BQS7:OID30337:v1:CardiometabolicII	4.87135E-98	-1.393611592	X	66162671	66268867
EPPK1	EPPK1	cis-position, cis-gene	44457	177	44280	2.39e-84	-1.423369025	-1.566423937	-1.280314112	0.072986554	ptv	CardiometabolicII	EPPK1:P58107:OID30250:v1:CardiometabolicII	3.32672E-93	-1.431596658	8	143857324	143878467
CR2	CR2	cis-position, cis-gene	45433	263	45170	2.44e-84	-1.183561614	-1.302526162	-1.064597065	0.060695696	flexdmg	Cardiometabolic	CR2:P20023:OID20393:v1:Cardiometabolic	3.89201E-93	-1.195563121	1	207454230	207489895
ADAMTSL4	ADAMTSL4	cis-position, cis-gene	44457	295	44162	5.78e-84	-1.096253139	-1.206689608	-0.98581667	0.056344638	flexdmg	CardiometabolicII	ADAMTSL4:Q6UY14:OID30275:v1:CardiometabolicII	1.12066E-91	-1.085814535	1	150549369	150560937
PAM	PAM	cis-position, cis-gene	45591	315	45276	4.4e-83	-1.076611754	-1.185664933	-0.967558576	0.055638921	flexdmg	Cardiometabolic	PAM:P19021:OID20291:v1:Cardiometabolic	1.24948E-72	-1.006214681	5	102753981	103029730
LY75	LY75	cis-position, cis-gene	45190	252	44938	1.79e-82	-1.197934296	-1.319734467	-1.076134125	0.062142421	flexdmg	Inflammation	LY75:O60449:OID20580:v1:Inflammation	8.05575E-85	-1.147804364	2	159803355	159904756
AFM	AFM	cis-position, cis-gene	45680	176	45504	2.14e-82	-1.427091402	-1.572263886	-1.281918918	0.074066992	flexdmg	InflammationII	AFM:P43652:OID30741:v1:InflammationII	9.38524E-90	-1.382533333	4	73481745	73504001
PCDH12	PCDH12	cis-position, cis-gene	45520	351	45169	3e-82	-1.024180394	-1.12846155	-0.919899238	0.053204234	flexdmg	NeurologyII	PCDH12:Q9NPG4:OID31045:v1:NeurologyII	7.22482E-82	-1.019639226	5	141943581	141969741
CANT1	CANT1	cis-position, cis-gene	45135	228	44907	8.74e-82	-1.241915347	-1.368732105	-1.115098588	0.064701881	flexdmg	Cardiometabolic	CANT1:Q8WVQ1:OID20181:v1:Cardiometabolic	4.72864E-83	-1.205627221	17	78991716	79009867
LCAT	KITLG	trans-position, trans-gene	45276	177	45099	1.06e-81	-1.419581651	-1.564618928	-1.274544374	0.073997991	flexdmg	Cardiometabolic	KITLG:P21583:OID20196:v1:Cardiometabolic	4.45966E-89	-1.416338989	16	67939750	67944131
C1RL	C1RL	cis-position, cis-gene	45609	287	45322	2.32e-81	-1.114291831	-1.228382497	-1.000201165	0.058209048	flexnonsynmtr	InflammationII	C1RL:Q9NZP8:OID30721:v1:InflammationII	1.1183E-95	-1.140743176	12	7089587	7109238
C2	C2	cis-position, cis-gene	45352	152	45200	3.04e-81	-1.512197399	-1.667143311	-1.357251488	0.079053378	ptvraredmg	Cardiometabolic	C2:P06681:OID20410:v1:Cardiometabolic	8.65994E-89	-1.536298952	6	31897785	31945672
STAB1	HRC	trans-position, trans-gene	44457	718	43739	6.14e-81	0.708634105	0.635886832	0.781381378	0.037115627	ptvraredmg	CardiometabolicII	HRC:P23327:OID30211:v1:CardiometabolicII	9.68769E-88	0.691292555	3	52495338	52524495
COL15A1	COL15A1	cis-position, cis-gene	45606	523	45083	1.52e-80	-0.801795841	-0.884317373	-0.719274309	0.042102478	flexdmg	CardiometabolicII	COL15A1:P39059:OID30396:v1:CardiometabolicII	7.40532E-57	-0.585724621	9	98943179	99070792
CDON	CDON	cis-position, cis-gene	45300	314	44986	2.97e-80	-1.029972453	-1.136174234	-0.923770673	0.054184129	flexdmg	Inflammation	CDON:Q4KMG0:OID20754:v1:Inflammation	1.35785E-90	-1.049416468	11	125955796	126063335
SORCS2	SORCS2	cis-position, cis-gene	44180	254	43926	7.05e-80	-1.107214174	-1.221650456	-0.992777891	0.058385331	flexdmg	Oncology	SORCS2:Q96PQ0:OID21262:v1:Oncology	1.08778E-82	-1.082775192	4	7192538	7742836
GNPTAB	SMPD1	trans-position, trans-gene	45420	75	45345	1.86e-79	2.137549072	1.916008931	2.359089212	0.113029747	ptv	Neurology	SMPD1:P17405:OID21028:v1:Neurology	1.46701E-76	1.944403832	12	101745497	101830867
CD276	CD276	cis-position, cis-gene	45225	87	45138	7.56e-79	-1.923702519	-2.123868208	-1.723536831	0.102124494	ptv	Inflammation	CD276:Q5ZPR3:OID20680:v1:Inflammation	4.80175E-79	-1.893447487	15	73683966	73714514
NHLRC3	NHLRC3	cis-position, cis-gene	43654	81	43573	2.19e-78	-2.027321795	-2.238891806	-1.815751785	0.107942872	ptvraredmg	InflammationII	NHLRC3:Q5JS37:OID30614:v1:InflammationII	4.68562E-82	-1.915296657	13	39038306	39050109
MARCO	MARCO	cis-position, cis-gene	45276	295	44981	2.66e-78	-1.057970312	-1.168448927	-0.947491697	0.056366169	flexdmg	Cardiometabolic	MARCO:Q9UEW3:OID20210:v1:Cardiometabolic	1.43801E-79	-1.040044576	2	118942194	118994660
STAB2	POSTN	trans-position, trans-gene	45606	989	44617	5.69e-78	0.590345756	0.528563673	0.652127838	0.031521213	flexdmg	CardiometabolicII	POSTN:Q15063:OID30410:v1:CardiometabolicII	3.98662E-84	0.578219034	12	103587273	103766719
FCN1	FCN1	cis-position, cis-gene	45591	167	45424	6.26e-78	-1.418817912	-1.56734324	-1.270292584	0.075777608	flexdmg	InflammationII	FCN1:O00602:OID30690:v1:InflammationII	1.80532E-80	-1.325380807	9	134903232	134917912
C8B	C8B	cis-position, cis-gene	45680	321	45359	7.61e-78	-1.021857915	-1.128888866	-0.914826963	0.054607184	flexnonsynmtr	InflammationII	C8B:P07358:OID30719:v1:InflammationII	1.1203E-87	-1.016013842	1	56929207	56974383
CPPED1	CPPED1	cis-position, cis-gene	45644	127	45517	5.74e-77	-1.597584007	-1.765895631	-1.429272383	0.085872578	rec	Neurology	CPPED1:Q9BRF8:OID21053:v1:Neurology	2.93534E-76	-1.552516858	16	12659799	12803887
KHK	KHK	cis-position, cis-gene	44457	258	44199	2.06e-76	-1.124690088	-1.243616029	-1.005764146	0.060675963	flexdmg	CardiometabolicII	KHK:P50053:OID30241:v1:CardiometabolicII	2.57368E-83	-1.14150427	2	27086747	27100762
ASGR1	CR1	trans-position, trans-gene	45513	105	45408	3.51e-76	1.772495414	1.58476802	1.960222808	0.095778495	flexdmg	InflammationII	CR1:P17927:OID30697:v1:InflammationII	8.55706E-79	1.770757094	17	7173431	7179564
ADAMTSL5	ADAMTSL5	cis-position, cis-gene	45616	188	45428	4.56e-76	-1.333811984	-1.475186961	-1.192437007	0.072129501	flexdmg	CardiometabolicII	ADAMTSL5:Q6ZMM2:OID30355:v1:CardiometabolicII	2.61476E-64	-0.96974351	19	1505022	1513604
TXNDC15	TXNDC15	cis-position, cis-gene	45388	47	45341	4.98e-76	-2.656191708	-2.937800765	-2.374582651	0.143676897	ptv	Oncology	TXNDC15:Q96J42:OID21495:v1:Oncology	1.5222E-75	-2.601496642	5	134874371	134901635
CD101	CD101	cis-position, cis-gene	45423	249	45174	2.44e-75	-1.168501343	-1.292968718	-1.044033968	0.063503237	flexdmg	OncologyII	CD101:Q93033:OID31480:v1:OncologyII	1.60833E-84	-1.146547786	1	117001750	117036552
PCBD1	PCBD1	cis-position, cis-gene	44577	62	44515	3.09e-75	-2.23895661	-2.477605439	-2.000307782	0.121758536	ptvraredmg	InflammationII	PCBD1:P61457:OID30610:v1:InflammationII	1.72611E-75	-2.225851888	10	70882280	70888565
NT5E	NT5E	cis-position, cis-gene	45388	190	45198	6.89e-75	-1.310092906	-1.450073819	-1.170111994	0.07141824	flexdmg	Oncology	NT5E:P21589:OID21498:v1:Oncology	1.0403E-81	-1.289487539	6	85449584	85495791
ITGAM	ITGAM	cis-position, cis-gene	45260	270	44990	7.74e-75	-1.081653384	-1.197265642	-0.966041126	0.058985351	flexdmg	Neurology	ITGAM:P11215:OID21071:v1:Neurology	1.97817E-72	-1.041152622	16	31259967	31332892
ASGR1	SIGLEC9	trans-position, trans-gene	45556	104	45452	1.33e-74	1.730407003	1.545149133	1.915664873	0.094518546	flexdmg	Oncology	SIGLEC9:Q9Y336:OID21390:v1:Oncology	2.47918E-71	1.685963721	17	7173431	7179564
GNPTAB	SGSH	trans-position, trans-gene	44876	77	44799	1.7e-74	2.052529493	1.832631443	2.272427543	0.112191917	ptv	CardiometabolicII	SGSH:P51688:OID30341:v1:CardiometabolicII	1.20646E-71	1.872064581	12	101745497	101830867
LCAT	LCAT	cis-position, cis-gene	45669	177	45492	6.39e-74	-1.33763163	-1.481516004	-1.193747255	0.073409798	flexdmg	InflammationII	LCAT:P04180:OID30677:v1:InflammationII	1.66418E-80	-1.331860046	16	67939750	67944131
GNPTAB	DPP7	trans-position, trans-gene	44917	74	44843	1.19e-73	2.087176446	1.862251249	2.312101644	0.114756769	ptv	Cardiometabolic	DPP7:Q9UHL4:OID20142:v1:Cardiometabolic	6.80023E-79	2.008028273	12	101745497	101830867
COL18A1	COL18A1	cis-position, cis-gene	45444	122	45322	2.77e-73	-1.52975509	-1.69503917	-1.364471009	0.084327915	ptv	Cardiometabolic	COL18A1:P39060:OID20332:v1:Cardiometabolic	6.20442E-80	-1.540325488	21	45405165	45513720
SERPINA4	SERPINA4	cis-position, cis-gene	44971	189	44782	3.01e-73	-1.297713978	-1.437960242	-1.157467714	0.071553604	flexdmg	InflammationII	SERPINA4:P29622:OID30774:v1:InflammationII	4.64224E-78	-1.264070149	14	94561442	94569913
SPON2	SPON2	cis-position, cis-gene	45046	96	44950	1.19e-72	-1.79052591	-1.984847897	-1.596203923	0.099143028	flexdmg	Cardiometabolic	SPON2:Q9BUD6:OID20221:v1:Cardiometabolic	2.05551E-77	-1.776295221	4	1166932	1208962
CTSB	CTSB	cis-position, cis-gene	45319	45	45274	4.32e-72	-2.615675548	-2.900686249	-2.330664848	0.145412409	ptv	Cardiometabolic	CTSB:P07858:OID20276:v1:Cardiometabolic	8.28667E-74	-2.611061971	8	11842524	11869533
FLG	WFDC12	trans-position, trans-gene	45540	562	44978	4.83e-72	0.685247927	0.610554951	0.759940903	0.038108348	ptv	Oncology	WFDC12:Q8WWY7:OID21462:v1:Oncology	1.70293E-81	0.691922212	1	152302163	152325257
STAB2	LTBP2	trans-position, trans-gene	45810	998	44812	7.36e-72	0.478009954	0.425837402	0.530182505	0.026618434	flexdmg	Cardiometabolic	LTBP2:Q14767:OID20254:v1:Cardiometabolic	2.86446E-78	0.472164332	12	103587273	103766719
MRI1	MRI1	cis-position, cis-gene	44410	255	44155	1.08e-71	-1.110545861	-1.231895901	-0.989195821	0.061912735	flexdmg	NeurologyII	MRI1:Q9BV20:OID30891:v1:NeurologyII	1.58706E-79	-1.116310219	19	13764522	13774282
GNPTAB	CTSZ	trans-position, trans-gene	45291	75	45216	1.17e-71	2.00941118	1.78978073	2.229041631	0.112055416	ptv	Cardiometabolic	CTSZ:Q9UBR2:OID20365:v1:Cardiometabolic	3.54692E-70	1.845181464	12	101745497	101830867
EPS8L2	EPS8L2	cis-position, cis-gene	45544	56	45488	1.22e-71	-2.302173051	-2.553839561	-2.050506542	0.128400226	ptv	Oncology	EPS8L2:Q9H6S3:OID21397:v1:Oncology	7.8222E-76	-2.312849708	11	694438	727727
GNPTAB	PLA2G15	trans-position, trans-gene	45388	77	45311	1.45e-71	2.011568298	1.791553454	2.231583141	0.112251539	ptv	Oncology	PLA2G15:Q8NCC3:OID21473:v1:Oncology	9.30897E-72	1.874189563	12	101745497	101830867
SSC5D	SSC5D	cis-position, cis-gene	45433	93	45340	2.74e-71	-1.796400484	-1.993274455	-1.599526513	0.100445072	ptv	Cardiometabolic	SSC5D:A1L4H1:OID20351:v1:Cardiometabolic	6.83135E-76	-1.750935928	19	55488404	55519099
CLEC5A	CLEC5A	cis-position, cis-gene	45135	40	45095	2.92e-70	-2.655709136	-2.948939408	-2.362478864	0.149606017	flexdmg	Cardiometabolic	CLEC5A:Q9NY25:OID20165:v1:Cardiometabolic	1.24834E-73	-2.608263287	7	141927357	141947007
STAB1	BLMH	trans-position, trans-gene	45810	727	45083	3.18e-70	0.646670915	0.575247273	0.718094558	0.03644034	ptvraredmg	Cardiometabolic	BLMH:Q13867:OID20336:v1:Cardiometabolic	2.12952E-82	0.654589253	3	52495338	52524495
LY75-CD302	LY75	cis-position, trans-gene	45190	287	44903	7.68e-70	-1.031504169	-1.145750545	-0.917257794	0.058288476	flexdmg	Inflammation	LY75:O60449:OID20580:v1:Inflammation	9.59156E-73	-0.995988558	2	159768628	159904756
TNFRSF10A	TNFRSF10A	cis-position, cis-gene	44914	158	44756	8.09e-70	-1.345334691	-1.494363107	-1.196306274	0.076034254	ptvraredmg	Neurology	TNFRSF10A:O00220:OID20967:v1:Neurology	4.87839E-72	-1.304897649	8	23190452	23225102
DPP7	DPP7	cis-position, cis-gene	44917	345	44572	1.31e-69	-0.941957491	-1.046462972	-0.837452009	0.053318666	flexdmg	Cardiometabolic	DPP7:Q9UHL4:OID20142:v1:Cardiometabolic	5.25214E-82	-0.978386951	9	137110546	137115177
LGALS8	LGALS8	cis-position, cis-gene	45644	141	45503	1.39e-69	-1.47031442	-1.633476512	-1.307152328	0.083245287	flexdmg	Neurology	LGALS8:O00214:OID21041:v1:Neurology	1.66108E-76	-1.502549011	1	236518000	236552981
GNPTAB	ARSA	trans-position, trans-gene	45260	77	45183	2.07e-69	1.939676305	1.724155781	2.15519683	0.10995853	ptv	Neurology	ARSA:P15289:OID21138:v1:Neurology	2.43266E-67	1.793386215	12	101745497	101830867
VSIG4	VSIG4	cis-position, cis-gene	45198	103	45095	2.31e-69	-1.635494517	-1.817279233	-1.453709801	0.092746524	flexnonsynmtr	Neurology	VSIG4:Q9Y279:OID21144:v1:Neurology	4.96445E-69	-1.579223923	X	66021738	66040125
ARSB	ARSB	cis-position, cis-gene	45042	341	44701	4.94e-69	-0.944154195	-1.049354995	-0.838953395	0.053673421	flexdmg	Oncology	ARSB:P15848:OID21331:v1:Oncology	8.20599E-71	-0.912969164	5	78777209	78986087
ASGR1	CSF1R	trans-position, trans-gene	45669	105	45564	5.88e-69	1.680982841	1.493572694	1.868392988	0.095616644	flexdmg	InflammationII	CSF1R:P07333:OID30681:v1:InflammationII	3.60031E-72	1.678418552	17	7173431	7179564
DPEP1	DPEP1	cis-position, cis-gene	44842	139	44703	6.8e-68	-1.436248885	-1.597657778	-1.274839993	0.082350765	flexdmg	Neurology	DPEP1:P16444:OID20897:v1:Neurology	1.98954E-74	-1.40550767	16	89613308	89638456
ITGA2	ITGA2	cis-position, cis-gene	44654	203	44451	7.93e-68	-1.171759553	-1.303510417	-1.04000869	0.067219241	flexdmg	InflammationII	ITGA2:P17301:OID30570:v1:InflammationII	5.58544E-73	-1.151825144	5	52989340	53094779
WFIKKN2	WFIKKN2	cis-position, cis-gene	45300	244	45056	9.71e-68	-1.09893858	-1.222587044	-0.975290117	0.063085424	flexdmg	Inflammation	WFIKKN2:Q8TEU8:OID20785:v1:Inflammation	3.56826E-75	-1.108202539	17	50834650	50842353
CSTB	CSTB	cis-position, cis-gene	44641	84	44557	1.81e-67	-1.839202778	-2.046566883	-1.631838674	0.105797087	ptv	Cardiometabolic	CSTB:P04080:OID20294:v1:Cardiometabolic	2.29871E-69	-1.848223949	21	43772511	43776330
PI16	PI16	cis-position, cis-gene	45669	96	45573	1.98e-67	-1.690601419	-1.881273972	-1.499928865	0.097281123	flexdmg	InflammationII	PI16:Q6UXB8:OID30676:v1:InflammationII	2.52291E-69	-1.633780703	6	36948263	36964837
GOT1	GOT1	cis-position, cis-gene	45606	139	45467	1.99e-67	-1.416193305	-1.575918057	-1.256468553	0.081491554	flexdmg	CardiometabolicII	GOT1:P17174:OID30417:v1:CardiometabolicII	4.75564E-67	-1.347978352	10	99396870	99430624
RECK	RECK	cis-position, cis-gene	44457	122	44335	3.83e-67	-1.468841869	-1.634859908	-1.30282383	0.08470233	flexdmg	CardiometabolicII	RECK:O95980:OID30234:v1:CardiometabolicII	4.89548E-71	-1.439546623	9	36036913	36124455
CTSF	CTSF	cis-position, cis-gene	45388	131	45257	4.01e-67	-1.466209961	-1.63196224	-1.300457682	0.084566787	flexdmg	Oncology	CTSF:Q9UBX1:OID21500:v1:Oncology	3.54707E-69	-1.427127676	11	66563464	66568879
SIGLEC6	SIGLEC6	cis-position, cis-gene	45621	210	45411	4.65e-67	-1.1853488	-1.319417789	-1.051279811	0.068401987	flexnonsynmtr	Oncology	SIGLEC6:O43699:OID21394:v1:Oncology	1.46874E-68	-1.158062029	19	51517819	51531856
SCARB2	SCARB2	cis-position, cis-gene	44060	33	44027	5.96e-67	-2.756647026	-3.068677408	-2.444616644	0.159197725	ptv	Neurology	SCARB2:Q14108:OID20943:v1:Neurology	1.17999E-68	-2.754614339	4	76158737	76234536
DDR1	DDR1	cis-position, cis-gene	45644	636	45008	1.36e-66	-0.673171585	-0.749584593	-0.596758577	0.038985911	flexdmg	Neurology	DDR1:Q08345:OID21009:v1:Neurology	6.11492E-67	-0.656345903	6	30876421	30900156
VIT	VIT	cis-position, cis-gene	45616	375	45241	1.84e-66	-0.791202528	-0.881105303	-0.701299752	0.045868388	flexdmg	CardiometabolicII	VIT:Q6UXI7:OID30334:v1:CardiometabolicII	3.21153E-82	-0.826251249	2	36696690	36814794
APRT	APRT	cis-position, cis-gene	44842	147	44695	4.22e-66	-1.379889909	-1.537120558	-1.22265926	0.080219027	flexdmg	Neurology	APRT:P07741:OID20927:v1:Neurology	7.37536E-77	-1.426398515	16	88809339	88811937
GNPTAB	GLB1	trans-position, trans-gene	44914	77	44837	4.62e-66	1.891934582	1.676293147	2.107576018	0.110020196	ptv	Neurology	GLB1:P16278:OID20949:v1:Neurology	7.37532E-68	1.782862503	12	101745497	101830867
PCDHGB7	RFC4	trans-position, trans-gene	45424	525	44899	4.81e-66	0.748987111	0.663604601	0.83436962	0.043562144	rec	OncologyII	RFC4:P35249:OID31376:v1:OncologyII	4.0357E-66	0.741529802	5	141417647	141512981
SLC39A5	SLC39A5	cis-position, cis-gene	45190	106	45084	6.21e-66	-1.564891869	-1.743438613	-1.386345125	0.091094511	ptv	Inflammation	SLC39A5:Q6ZMH5:OID20539:v1:Inflammation	1.83955E-69	-1.563655231	12	56230049	56237846
GZMA	GZMA	cis-position, cis-gene	45752	54	45698	6.53e-66	-2.293267853	-2.554969189	-2.031566518	0.133520009	ptv	Inflammation	GZMA:P12544:OID20663:v1:Inflammation	3.34107E-73	-2.279465918	5	55102646	55110252
CDA	CDA	cis-position, cis-gene	45538	82	45456	9.72e-66	-1.835925413	-2.045718233	-1.626132593	0.107036274	flexdmg	CardiometabolicII	CDA:P32320:OID30345:v1:CardiometabolicII	3.09712E-70	-1.830759964	1	20589086	20618903
PRTN3	PRTN3	cis-position, cis-gene	44144	134	44010	1.04e-65	-1.465194425	-1.632654383	-1.297734466	0.085437981	flexdmg	Cardiometabolic	PRTN3:P24158:OID20329:v1:Cardiometabolic	2.6399E-68	-1.450401538	19	840999	848175
TPP1	TPP1	cis-position, cis-gene	44925	48	44877	1.5e-64	-2.404759045	-2.682147245	-2.127370845	0.141523378	ptv	Inflammation	TPP1:O14773:OID20750:v1:Inflammation	1.80007E-71	-2.432423738	11	6612768	6619448
GLB1	GLB1	cis-position, cis-gene	44914	231	44683	3.48e-64	-1.0780634	-1.202782136	-0.953344664	0.063631462	ptvraredmg	Neurology	GLB1:P16278:OID20949:v1:Neurology	5.25893E-72	-1.075114171	3	32996609	33097202
DCTPP1	DCTPP1	cis-position, cis-gene	45276	26	45250	4.3e-64	-3.173082378	-3.540448105	-2.805716651	0.187429925	ptvraredmg	Cardiometabolic	DCTPP1:Q9H773:OID20148:v1:Cardiometabolic	1.90488E-68	-3.178075542	16	30423615	30430030
PON3	PON3	cis-position, cis-gene	45452	92	45360	4.85e-64	-1.684851032	-1.879998986	-1.489703078	0.09956446	flexdmg	Inflammation	PON3:Q15166:OID20777:v1:Inflammation	8.4468E-65	-1.664406588	7	95359872	95396375
MOCS2	MOCS2	cis-position, cis-gene	44654	134	44520	8.33e-64	-1.434586899	-1.601058596	-1.268115202	0.084933797	flexdmg	InflammationII	MOCS2:O96007:OID30638:v1:InflammationII	3.46289E-68	-1.428639031	5	53095679	53110063
LPO	LPO	cis-position, cis-gene	43778	332	43446	1.04e-63	-0.898059624	-1.002348583	-0.793770665	0.053208159	flexdmg	Neurology	LPO:P22079:OID20963:v1:Neurology	2.1586E-68	-0.893686012	17	58218548	58268518
SPINT1	SPINT1	cis-position, cis-gene	45117	269	44848	1.47e-63	-1.021093333	-1.139821163	-0.902365503	0.060574911	flexdmg	Neurology	SPINT1:O43278:OID21109:v1:Neurology	6.97169E-60	-0.809309397	15	40844018	40858207
NOL3	PHOSPHO1	trans-position, trans-gene	44914	94	44820	1.56e-63	-1.639144077	-1.829775124	-1.44851303	0.097259903	ptv	Neurology	PHOSPHO1:Q8TCT1:OID20922:v1:Neurology	2.38514E-64	-1.613750674	16	67170497	67175737
GNPTAB	CTBS	trans-position, trans-gene	45092	74	45018	1.92e-63	1.906955831	1.685012103	2.12889956	0.113235636	ptv	InflammationII	CTBS:Q01459:OID30710:v1:InflammationII	1.96273E-62	1.763566311	12	101745497	101830867
ASGR1	KEL	trans-position, trans-gene	44217	103	44114	2.03e-63	1.581243081	1.397180128	1.765306033	0.093908824	flexdmg	Neurology	KEL:P23276:OID20881:v1:Neurology	1.99702E-66	1.581155526	17	7173431	7179564
GNPTAB	PRCP	trans-position, trans-gene	45524	76	45448	3.38e-63	1.841469237	1.626715417	2.056223057	0.109567374	ptv	Cardiometabolic	PRCP:P42785:OID20337:v1:Cardiometabolic	1.8078E-61	1.69384268	12	101745497	101830867
ERBB2	ERBB2	cis-position, cis-gene	45388	357	45031	3.79e-63	-0.835459959	-0.932930793	-0.737989125	0.049729605	flexdmg	Oncology	ERBB2:P04626:OID21520:v1:Oncology	4.84823E-61	-0.782634876	17	39687914	39730426
ECM1	ECM1	cis-position, cis-gene	44609	325	44284	1.38e-62	-0.92046228	-1.028342787	-0.812581772	0.055040592	flexdmg	InflammationII	ECM1:Q16610:OID30736:v1:InflammationII	4.06223E-67	-0.905997396	1	150508062	150513789
PEAR1	PEAR1	cis-position, cis-gene	45810	247	45563	5.78e-62	-1.048097151	-1.171578498	-0.924615804	0.06300018	ptvraredmg	Cardiometabolic	PEAR1:Q5VY43:OID20257:v1:Cardiometabolic	4.2643E-68	-1.050549772	1	156893698	156916429
RIDA	RIDA	cis-position, cis-gene	44654	35	44619	6.3e-62	-2.70019478	-3.018404822	-2.381984739	0.162350643	ptv	InflammationII	RIDA:P52758:OID30635:v1:InflammationII	1.93403E-63	-2.692488197	8	98102344	98117171
ADAMTS8	ADAMTS8	cis-position, cis-gene	45388	373	45015	1.64e-61	-0.852210069	-0.952992306	-0.751427833	0.051419082	flexdmg	Oncology	ADAMTS8:Q9UP79:OID21502:v1:Oncology	2.09828E-66	-0.84965759	11	130404923	130428609
BOC	BOC	cis-position, cis-gene	44454	332	44122	2.32e-61	-0.889675231	-0.995019803	-0.784330658	0.053746754	flexdmg	Cardiometabolic	BOC:Q9BWV1:OID20116:v1:Cardiometabolic	6.36291E-58	-0.824948497	3	113211003	113287459
